"event","experiment time","system time","system time text"
"START",0.000000000E0,1643889099.295,"2022-02-03 12:51:39.295 UTC+01:00"
"PAUSE",2.004361226E1,1643889119.339,"2022-02-03 12:51:59.339 UTC+01:00"
