"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.684983300E-1,-2.796236658E-3,-1.464695437E-3,-9.320789250E-4
2.705069240E-1,-6.657706108E-4,-1.464695437E-3,1.331541280E-4
2.725155180E-1,-6.657706108E-4,-1.464695437E-3,-9.320789250E-4
2.745241110E-1,-6.657706108E-4,-2.529928461E-3,-9.320789250E-4
2.765327050E-1,-6.657706108E-4,-3.994623839E-4,1.198387123E-3
2.785412990E-1,-1.731003635E-3,-3.994623839E-4,1.331541280E-4
2.805498930E-1,-6.657706108E-4,-3.994623839E-4,1.198387123E-3
2.825584860E-1,-6.657706108E-4,-3.994623839E-4,1.331541280E-4
2.845670800E-1,-6.657706108E-4,-3.994623839E-4,-9.320789250E-4
2.865756740E-1,-6.657706108E-4,-3.994623839E-4,-1.997311832E-3
2.885842680E-1,-1.731003635E-3,6.657706108E-4,1.331541280E-4
2.905928610E-1,-1.731003635E-3,-3.994623839E-4,1.331541280E-4
2.926014550E-1,-3.861469682E-3,6.657706108E-4,-9.320789250E-4
2.946100490E-1,-6.657706108E-4,-3.994623839E-4,-9.320789250E-4
2.966186430E-1,-1.731003635E-3,6.657706108E-4,1.331541280E-4
2.986272360E-1,-6.657706108E-4,1.731003635E-3,1.331541280E-4
3.006358300E-1,-2.796236658E-3,6.657706108E-4,-9.320789250E-4
3.026444240E-1,-3.861469682E-3,-3.994623839E-4,1.198387123E-3
3.046530180E-1,-3.861469682E-3,1.731003635E-3,-9.320789250E-4
3.066616110E-1,-1.731003635E-3,-3.994623839E-4,1.198387123E-3
3.086702050E-1,-4.926702939E-3,-1.464695437E-3,-9.320789250E-4
3.106787990E-1,-2.796236658E-3,-1.464695437E-3,-9.320789250E-4
3.126873930E-1,-6.657706108E-4,-1.464695437E-3,-9.320789250E-4
3.146959860E-1,-1.731003635E-3,-3.994623839E-4,-9.320789250E-4
3.167045800E-1,-2.796236658E-3,-3.595161485E-3,1.331541280E-4
3.187131740E-1,-5.991935730E-3,-2.529928461E-3,-9.320789250E-4
3.207217680E-1,-3.861469682E-3,-4.660394508E-3,1.331541280E-4
3.227303610E-1,-2.796236658E-3,-6.790860556E-3,1.331541280E-4
3.247389550E-1,-3.861469682E-3,-4.660394508E-3,1.331541280E-4
3.267475490E-1,-2.796236658E-3,-5.725627299E-3,1.331541280E-4
3.287561430E-1,-2.796236658E-3,-5.725627299E-3,1.331541280E-4
3.307647360E-1,-2.796236658E-3,-5.725627299E-3,1.331541280E-4
3.327733300E-1,-4.926702939E-3,-5.725627299E-3,-9.320789250E-4
3.347819240E-1,-4.926702939E-3,-4.660394508E-3,1.331541280E-4
3.367905180E-1,-4.926702939E-3,-3.595161485E-3,-9.320789250E-4
3.387990590E-1,-2.796236658E-3,-3.595161485E-3,-9.320789250E-4
3.408076010E-1,-3.861469682E-3,-5.725627299E-3,1.331541280E-4
3.428161430E-1,-2.796236658E-3,-3.595161485E-3,1.331541280E-4
3.448246840E-1,-3.861469682E-3,-3.595161485E-3,-9.320789250E-4
3.468332260E-1,-2.796236658E-3,-3.595161485E-3,1.331541280E-4
3.488417680E-1,-2.796236658E-3,-5.725627299E-3,-9.320789250E-4
3.508503090E-1,-2.796236658E-3,-6.790860556E-3,1.198387123E-3
3.528588510E-1,-1.731003635E-3,-6.790860556E-3,-9.320789250E-4
3.548673930E-1,-1.731003635E-3,-4.660394508E-3,1.331541280E-4
3.568759340E-1,-1.731003635E-3,-6.790860556E-3,1.331541280E-4
3.588844760E-1,-2.796236658E-3,-6.790860556E-3,1.198387123E-3
3.608930180E-1,-1.731003635E-3,-5.725627299E-3,-9.320789250E-4
3.629015590E-1,-1.731003635E-3,-4.660394508E-3,1.331541280E-4
3.649101010E-1,-1.731003635E-3,-3.595161485E-3,-9.320789250E-4
3.669186430E-1,3.994623839E-4,1.731003635E-3,1.331541280E-4
3.689271840E-1,-6.657706108E-4,2.796236658E-3,1.331541280E-4
3.709357260E-1,3.994623839E-4,3.861469682E-3,1.198387123E-3
3.729442680E-1,2.529928461E-3,5.991935730E-3,1.198387123E-3
3.749528090E-1,1.464695437E-3,4.926702939E-3,-9.320789250E-4
3.769613510E-1,-6.657706108E-4,5.991935730E-3,-1.997311832E-3
3.789698930E-1,3.994623839E-4,5.991935730E-3,-1.997311832E-3
3.809784340E-1,3.994623839E-4,3.861469682E-3,-9.320789250E-4
3.829869760E-1,3.994623839E-4,3.861469682E-3,1.331541280E-4
3.849955180E-1,2.529928461E-3,4.926702939E-3,1.331541280E-4
3.870040590E-1,3.595161485E-3,8.122402243E-3,-9.320789250E-4
3.890126010E-1,3.595161485E-3,8.122402243E-3,1.331541280E-4
3.910211430E-1,3.595161485E-3,7.057168987E-3,1.331541280E-4
3.930296840E-1,4.660394508E-3,9.187635034E-3,-9.320789250E-4
3.950382260E-1,2.529928461E-3,9.187635034E-3,-9.320789250E-4
3.970467680E-1,3.595161485E-3,1.025286783E-2,1.331541280E-4
3.990553090E-1,3.595161485E-3,1.025286783E-2,-9.320789250E-4
4.010638510E-1,4.660394508E-3,1.131810062E-2,1.198387123E-3
4.030723930E-1,3.595161485E-3,1.025286783E-2,1.198387123E-3
4.050809340E-1,6.790860556E-3,1.025286783E-2,1.198387123E-3
4.070894760E-1,3.595161485E-3,9.187635034E-3,1.331541280E-4
4.090980180E-1,4.660394508E-3,9.187635034E-3,1.331541280E-4
4.111065590E-1,3.595161485E-3,7.057168987E-3,1.198387123E-3
4.131151530E-1,1.464695437E-3,8.122402243E-3,-9.320789250E-4
4.151237470E-1,3.595161485E-3,7.057168987E-3,-9.320789250E-4
4.171323410E-1,3.595161485E-3,7.057168987E-3,1.331541280E-4
4.191409340E-1,2.529928461E-3,8.122402243E-3,1.331541280E-4
4.211495280E-1,4.660394508E-3,7.057168987E-3,-9.320789250E-4
4.231581220E-1,3.595161485E-3,5.991935730E-3,1.331541280E-4
4.251634860E-1,4.660394508E-3,8.122402243E-3,1.331541280E-4
4.271688510E-1,4.660394508E-3,4.926702939E-3,1.331541280E-4
4.291746320E-1,4.660394508E-3,5.991935730E-3,1.331541280E-4
4.311809340E-1,1.464695437E-3,4.926702939E-3,-9.320789250E-4
4.331883820E-1,2.529928461E-3,5.991935730E-3,1.331541280E-4
4.351969240E-1,2.529928461E-3,3.861469682E-3,1.331541280E-4
4.372090590E-1,2.529928461E-3,2.796236658E-3,-9.320789250E-4
4.392220800E-1,2.529928461E-3,2.796236658E-3,1.331541280E-4
4.412351530E-1,3.595161485E-3,6.657706108E-4,-9.320789250E-4
4.432450490E-1,1.464695437E-3,6.657706108E-4,-9.320789250E-4
4.452536430E-1,1.464695437E-3,-3.994623839E-4,-9.320789250E-4
4.472622360E-1,1.464695437E-3,-3.994623839E-4,1.331541280E-4
4.492707780E-1,-6.657706108E-4,-3.994623839E-4,-9.320789250E-4
4.512793200E-1,1.464695437E-3,-3.994623839E-4,1.331541280E-4
4.532878610E-1,1.464695437E-3,6.657706108E-4,1.331541280E-4
4.552964030E-1,-6.657706108E-4,6.657706108E-4,-9.320789250E-4
4.573049450E-1,1.464695437E-3,6.657706108E-4,1.331541280E-4
4.593134860E-1,1.464695437E-3,1.731003635E-3,1.331541280E-4
4.613220280E-1,2.529928461E-3,1.731003635E-3,1.331541280E-4
4.633305700E-1,1.464695437E-3,2.796236658E-3,1.331541280E-4
4.653391110E-1,3.595161485E-3,4.926702939E-3,-1.997311832E-3
4.673476530E-1,2.529928461E-3,2.796236658E-3,-9.320789250E-4
4.693561950E-1,1.464695437E-3,3.861469682E-3,-1.997311832E-3
4.713647360E-1,1.464695437E-3,4.926702939E-3,1.331541280E-4
4.733732780E-1,2.529928461E-3,2.796236658E-3,1.331541280E-4
4.753818200E-1,2.529928461E-3,3.861469682E-3,1.331541280E-4
4.773903610E-1,1.464695437E-3,1.731003635E-3,-9.320789250E-4
4.793989030E-1,2.529928461E-3,2.796236658E-3,1.331541280E-4
4.814074450E-1,-6.657706108E-4,1.731003635E-3,1.198387123E-3
4.834159860E-1,3.994623839E-4,1.731003635E-3,-9.320789250E-4
4.854245280E-1,3.994623839E-4,-1.464695437E-3,1.331541280E-4
4.874330700E-1,1.464695437E-3,-1.464695437E-3,-9.320789250E-4
4.894416110E-1,3.994623839E-4,1.731003635E-3,1.198387123E-3
